height,length,class
21.613962745098434,39.48334018947426,1
39.37162693421686,45.4902119646029,2
28.277490222459956,51.711780390093814,0
20.492505173767356,37.64403047593909,1
38.578635346225106,47.53395385955052,2
25.501010733741364,48.43098512664401,0
23.68825828868759,40.823249553326164,1
38.46082872086507,50.24741182988513,2
25.237991718615824,45.655648993548525,0
22.860070370851684,40.165264008233095,1
38.746347781093355,48.4338222429063,2
23.90021360426359,52.373597872157475,0
22.003494723529876,39.826682131296266,1
36.51565972148784,51.203988750088406,2
23.66112400473685,46.894421743436844,0
21.62265961899334,42.008187611319826,1
39.054025647218054,48.51057554854569,2
27.542681167581144,45.82134049208868,0
22.02415494671736,39.614095811246706,1
36.363185961320546,48.87959138914069,2
25.075896092805223,46.989722358759806,0
23.19446524769006,38.336902718833265,1
38.32500081272784,51.52777341783859,2
25.04652405446008,49.1893735080345,0
20.30894322806106,35.93774651598803,1
36.30430439378521,49.18210764572718,2
26.55682187363363,49.87023543284666,0
23.914918925353366,42.92003823346249,1
35.69899354848717,50.21017401505306,2
22.92161672434638,50.00695830829016,0
22.521976764694855,39.79471515667754,1
41.13271898617887,51.10598223165265,2
21.542647697020385,44.87532151034834,1
22.650693589756763,41.974907252079035,1
38.47750008677945,53.69621837239152,2
25.455059171698323,47.48200839797186,0
22.469275570821605,40.78043823809314,1
36.279143456831996,48.75699558282232,2
25.870862030283213,45.58681147549881,0
21.05980709270721,42.04950468266839,1
37.09246811576942,49.535614316680814,2
25.24536865516163,49.091410266040896,0
21.907036596705783,41.07019415168465,1
37.82202246519783,48.43281620741419,2
26.578087471463938,46.12069900225265,0
21.966108187272035,40.84675143685644,1
38.13377445498332,47.80159421663396,2
24.609048468120815,44.20768742026205,0
20.018789106287635,42.85809045571676,1
37.46939951633028,47.73117942207205,2
23.92063074268103,50.222479836511624,0
21.45959528630266,41.84128232895255,1
37.54906393679112,52.473047192980346,2
26.26881955358144,48.08860982168275,0
23.989216327485373,38.08886177542711,1
36.08326151808051,49.34053145828939,2
25.333289730911314,47.54635257897385,0
21.32684705072053,43.020577768556024,1
37.35870267433297,47.96637988426815,2
24.508557817034525,46.02924482427996,0
21.812709133311458,41.64462903650943,1
36.67000216481862,49.994678259110565,2
22.5183961998,49.67353474830077,0
22.25209994824327,38.55186639600836,1
38.26157430565169,51.5741130074504,2
24.38796839991082,47.381046126124765,0
22.497001159724977,42.29315692425298,1
35.08769108083924,48.00650821527292,2
25.202767806122093,47.8035412257888,0
26.809143929260216,40.59923355574827,1
38.008554668141876,47.01811082699968,2
24.9213600736989,42.214730683475544,1
26.371399732720608,42.240043652610716,1
39.1269707954387,47.72844758942041,2
27.289972545234402,52.420688172431966,0
18.163813281175706,42.28967312964532,1
38.88020096146087,48.996649694961725,2
27.34237931332532,47.73352447102964,0
26.059705478540284,36.860265469467386,1
37.163088795224574,48.800009611440416,2
23.307869465354663,48.44724294626447,0
24.072075614196507,38.497978727369684,1
38.846596453286814,48.15151494558259,2
27.020902645733788,47.41805680854288,0
21.92767080658982,38.63969869426798,1
36.611777756182946,46.418731479600616,2
25.55709144893016,48.79022426980835,0
20.14132178624304,41.2768646826438,1
35.77370738797813,49.99878089935301,2
27.169301208604228,45.65343549781031,0
22.878200303973117,37.48000163281548,1
41.06456584049899,49.9738192502139,2
24.432375320361505,49.01914918559262,0
25.797628197306295,40.14098340419412,1
36.48634372868558,52.030696246272996,2
25.60818321569634,42.51388909770858,1
19.589088845650156,40.87594649709208,1
38.23875954588979,50.82515750441188,2
30.1110281524956,50.00481498223232,0
22.693146523501515,41.83128982343228,1
40.128531244741986,49.10579772264747,2
23.454570368098153,47.43159809596342,0
25.376575178992073,40.357670566204504,1
41.23756944601476,48.40707825701434,2
27.10857771500722,47.226776422143004,0
24.789460689159668,40.63070787264199,1
34.28857836547915,51.313554622099076,2
23.934049308145262,47.271332845573866,0
18.383646560944257,44.841045091816625,1
37.62830862399996,53.172479016033634,2
26.955193408873555,51.407817503283745,0
20.86418932820994,39.79383593312882,1
36.79234665272092,49.623027771741626,2
25.57069560568989,48.45900721424439,0
20.06157658064999,41.175687636368124,1
36.94515013826637,50.85321262041527,2
20.43347269148255,50.203773786022765,0
22.427766512329093,40.29473792419817,1
40.662200509385414,49.82177082310912,2
23.74854050734345,44.274483643385004,1
23.774499531468482,42.190608257616574,1
39.46309907241055,44.41886187246122,2
25.097663686065083,46.39974131297075,0
22.46877590270855,40.27326583338567,1
35.96316639346737,47.91187740538906,2
24.289979637072133,48.893528596758486,0
25.575962270515127,40.64726267640123,1
37.96394035203609,50.630830059142276,2
23.599265207366027,51.38337946587345,0
25.656613689298926,40.530896359979124,1
42.30217250514073,49.62306362392556,2
22.394732543745302,49.47879504323026,0
22.700234317531955,42.61495291121046,1
38.760186453479456,48.19577650844744,2
23.52469503911052,48.37513005292874,0
17.260690998900095,42.57494036738673,1
38.530050355497714,46.79655873171978,2
26.736583876504685,49.23286740140489,0
19.12309113237036,39.14031754647497,1
38.6546696975201,49.60263508308673,2
29.904880222022726,50.63566309258302,0
26.515859214482575,43.556085510394,0
38.03570892447897,49.79320134755514,2
24.193863211760267,47.18090843520281,0
20.52365759378043,39.93182572640714,1
38.62257419114399,48.514712679338736,2
23.498195778064705,48.39563534934302,0
23.93746768185443,37.72920516515703,1
37.12094068245056,51.13011030774452,2
29.475326156878285,50.35110030140427,0
22.408545728648996,45.81901721956821,0
39.19792474538802,49.26330406812926,2
24.241978353035464,49.08277735241602,0
24.07279258505053,42.3215106048571,1
36.96606849544783,52.756622746498586,2
27.296189753497547,47.88052719163224,0
20.584181652496945,42.35101800290041,1
37.22735508816891,53.537568462426975,2
25.377438808633357,50.96716186947397,0
22.08741675498195,42.79974571341207,1
37.10392562525454,49.57376158943746,2
25.791243042193305,46.84850742546151,0
20.465961508513747,39.38994117286842,1
39.99080169978974,50.105969794525116,2
25.166931860707503,47.06898513417146,0
24.124271955290318,42.49098825943013,1
39.18746650927646,48.52984518454041,2
28.35736456374032,49.49090441760408,0
21.183159446005632,41.068273354770504,1
37.61315217238994,49.63132923824873,2
23.417376124699206,49.778528454284626,0
22.166587047223047,43.264139325567115,1
40.057359948680926,51.22930939901942,2
22.941128248748385,51.09631263757627,0
22.104384400188255,41.59091830470746,1
38.17934685854739,52.38647196580149,2
26.229493273760244,48.49204439917009,0
21.446235189045805,41.76951766116458,1
40.52348131055829,51.76934455751758,2
27.82146573313421,47.579070349050156,0
23.28742459543043,41.34050843943434,1
36.17112553841767,52.1094448985643,2
25.97430827297624,43.15344832169035,1
21.5962107955818,36.836525163048,1
40.798645092858955,51.498114262669205,2
26.384277926658672,50.976389403874826,0
23.343513405767855,42.86796684947862,1
34.33483754701714,47.97754973248268,2
31.249846437529133,51.26130874877063,0
26.035047628508522,42.69971416077016,1
36.828479500341565,51.403520898198714,2
26.768614547825845,47.032623422129355,0
19.199156100638675,42.31001391335917,1
39.5131917864075,52.27721456968498,2
27.434790757081593,49.28957908984854,0
25.554272123854773,41.21868309965566,1
35.19259168027051,51.65167957772376,2
23.43888019763309,48.31948438622495,0
21.631491544576054,40.175723228210806,1
39.715031584046024,49.50687575731332,2
23.607263078212284,47.54433313229204,0
21.398891249761807,41.018085658699086,1
39.96181181926222,52.025535362234734,2
28.377681441245134,46.70571316963045,0
21.315197192674116,41.97350193996048,1
41.46148998654098,47.93762750434859,2
24.804606357535842,47.867078879027666,0
24.02810390234033,43.06143423893293,1
40.97066022637421,50.21186149821566,2
26.481215505668906,48.28614622100781,0
24.295885851924595,43.142809820807074,1
36.72865253219031,51.062879718888915,2
23.956330226286006,45.04509483637659,0
20.851819100284814,43.07621023055904,1
